HIP,RAICRS,DEICRS,Plx,e_Plx,Vmag,B-V,SpType,pmRA,pmDE
1,0.00091185,1.08901332,3.54,1.39,9.10,0.482,F5,-5.20,-1.88
2,0.00379737,-19.49883745,21.90,3.10,9.27,0.999,K3V,181.21,-0.93
3,0.00500795,38.85928608,2.81,0.63,6.61,-0.019,B9,5.24,-2.91
4,0.00838170,-51.89354612,7.75,0.97,8.06,0.370,F0V,62.85,0.16
5,0.00996534,-40.59122440,2.87,1.11,8.55,0.902,G8III,2.53,9.07
6,0.01814144,3.94648893,18.80,4.99,12.31,1.336,M0V:,226.29,-12.84
7,0.02254891,20.03660216,17.74,1.30,9.64,0.740,G0,-208.12,-200.79
8,0.02729160,25.88647445,5.17,1.95,9.05,1.102,M6e-M8.5e Tc,19.09,-5.66
9,0.03534189,36.58593777,4.81,0.99,8.59,1.067,G5,-6.30,8.42
10,0.03625309,-50.86707360,10.76,1.10,8.59,0.489,F6V,42.23,40.02
11,0.03729695,46.94000154,4.29,0.84,7.34,0.081,A2,11.09,-2.02
12,0.04091756,-35.96022482,4.06,1.16,8.43,1.484,K4III,-5.99,-0.10
13,0.04167970,-22.59468060,3.49,1.48,8.80,1.128,K0III,8.45,-10.07
14,0.04827189,-0.36042119,5.11,0.99,7.25,1.200,K0,61.75,-11.67
15,0.05030890,50.79117384,2.45,1.16,8.60,1.166,K2,13.88,5.47
17,0.05109957,-40.19232842,6.15,1.00,8.15,0.425,F3V,-34.46,-26.37
16,0.05140852,-54.91412819,0.53,2.63,11.71,0.421,,257.39,-96.63
18,0.05313923,-4.05373813,19.93,2.36,11.03,1.567,K5,-127.22,23.78
19,0.05331696,38.30408636,4.12,0.64,6.53,0.955,G5,-2.50,-15.07
20,0.06295050,23.52928397,10.76,1.06,8.51,0.516,G0,36.00,-22.98
21,0.06623569,8.00723437,5.84,0.95,7.55,1.438,K2,61.89,-0.22
22,0.07013593,-49.35226686,4.47,1.15,8.69,0.962,G8/K0III/IV,-7.90,0.46
23,0.07442930,13.31221083,12.21,0.95,7.57,0.456,F2V,54.15,9.65
24,0.07604979,-23.45274913,9.73,1.21,9.05,0.528,G0V,127.15,22.22
25,0.07936537,-44.29029741,13.74,0.98,6.28,0.763,G3IV,58.36,-108.64
26,0.08434579,-13.39329686,9.19,1.34,9.13,0.535,F7V,-103.33,-33.35
27,0.08546976,-41.29753696,9.66,1.38,9.32,0.671,G5V,135.96,-113.67
28,0.08724871,-43.36179962,5.64,1.05,8.83,0.468,F3/F5V,-10.96,-8.69
29,0.09213106,-49.10795505,2.85,1.40,9.14,1.041,G8III,26.86,4.05
